strategy,bins_1,bins_2,dataset,classifier,accuracy_score,f1_score,precision_score,recall_score
uniform,6,5,moon,Neural Net,0.85,0.8571428571428571,0.8571428571428571,0.8571428571428571
uniform,6,5,moon,AdaBoost,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,6,5,moon,Naive Bayes,0.825,0.8292682926829269,0.85,0.8095238095238095
uniform,6,5,moon,QDA,0.825,0.8292682926829269,0.85,0.8095238095238095
uniform,6,5,radial,Nearest Neighbors,0.9,0.9130434782608695,0.9545454545454546,0.875
uniform,6,5,radial,Linear SVM,0.4,0.0,0.0,0.0
uniform,6,5,radial,RBF SVM,0.6,0.5789473684210527,0.7857142857142857,0.4583333333333333
uniform,6,5,radial,Gaussian Process,0.825,0.8444444444444444,0.9047619047619048,0.7916666666666666
uniform,6,5,radial,Decision Tree,0.875,0.8936170212765957,0.9130434782608695,0.875
uniform,6,5,radial,Random Forest,0.85,0.875,0.875,0.875
uniform,6,5,radial,Neural Net,0.85,0.8636363636363635,0.95,0.7916666666666666
uniform,6,5,radial,AdaBoost,0.825,0.8444444444444444,0.9047619047619048,0.7916666666666666
uniform,6,5,radial,Naive Bayes,0.625,0.5945945945945945,0.8461538461538461,0.4583333333333333
uniform,6,5,radial,QDA,0.625,0.5945945945945945,0.8461538461538461,0.4583333333333333
uniform,6,5,linear,Nearest Neighbors,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,5,linear,Linear SVM,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,6,5,linear,RBF SVM,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,5,linear,Gaussian Process,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,5,linear,Decision Tree,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,5,linear,Random Forest,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,5,linear,Neural Net,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,5,linear,AdaBoost,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,5,linear,Naive Bayes,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,6,5,linear,QDA,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,6,moon,Nearest Neighbors,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,6,6,moon,Linear SVM,0.875,0.8780487804878048,0.9,0.8571428571428571
uniform,6,6,moon,RBF SVM,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,6,6,moon,Gaussian Process,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,6,6,moon,Decision Tree,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,6,6,moon,Random Forest,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,6,6,moon,Neural Net,0.925,0.9302325581395349,0.9090909090909091,0.9523809523809523
uniform,6,6,moon,AdaBoost,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,6,6,moon,Naive Bayes,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,6,6,moon,QDA,0.925,0.9302325581395349,0.9090909090909091,0.9523809523809523
uniform,6,6,radial,Nearest Neighbors,0.85,0.8695652173913043,0.9090909090909091,0.8333333333333334
uniform,6,6,radial,Linear SVM,0.4,0.0,0.0,0.0
uniform,6,6,radial,RBF SVM,0.8,0.8095238095238096,0.9444444444444444,0.7083333333333334
uniform,6,6,radial,Gaussian Process,0.825,0.8372093023255814,0.9473684210526315,0.75
uniform,6,6,radial,Decision Tree,0.7,0.7000000000000001,0.875,0.5833333333333334
uniform,6,6,radial,Random Forest,0.925,0.9361702127659574,0.9565217391304348,0.9166666666666666
uniform,6,6,radial,Neural Net,0.825,0.8372093023255814,0.9473684210526315,0.75
uniform,6,6,radial,AdaBoost,0.8,0.8,1.0,0.6666666666666666
uniform,6,6,radial,Naive Bayes,0.65,0.5882352941176471,1.0,0.4166666666666667
uniform,6,6,radial,QDA,0.65,0.5882352941176471,1.0,0.4166666666666667
uniform,6,6,linear,Nearest Neighbors,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,6,6,linear,Linear SVM,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,6,6,linear,RBF SVM,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,6,6,linear,Gaussian Process,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,6,linear,Decision Tree,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,6,6,linear,Random Forest,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,6,6,linear,Neural Net,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
