strategy,bins_1,bins_2,dataset,classifier,accuracy_score,f1_score,precision_score,recall_score
quantile,8,5,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,8,6,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,8,7,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,8,7,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,8,7,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,8,8,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,8,8,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,8,9,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,8,9,moon,Gaussian Process,0.95,0.9545454545,0.9130434783,1
quantile,8,9,moon,AdaBoost,0.95,0.9545454545,0.9130434783,1
quantile,8,10,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,8,10,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,8,10,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,8,10,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,8,10,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,5,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,5,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,5,linear,Nearest Neighbors,0.95,0.9523809524,1,0.9090909091
quantile,9,5,linear,Linear SVM,0.95,0.9545454545,0.9545454545,0.9545454545
quantile,9,5,linear,RBF SVM,0.95,0.9523809524,1,0.9090909091
quantile,9,5,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
quantile,9,5,linear,Decision Tree,0.95,0.9523809524,1,0.9090909091
quantile,9,5,linear,Random Forest,0.95,0.9523809524,1,0.9090909091
quantile,9,5,linear,AdaBoost,0.95,0.9523809524,1,0.9090909091
quantile,9,6,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,6,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,6,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,6,linear,Linear SVM,0.95,0.9545454545,0.9545454545,0.9545454545
quantile,9,6,linear,RBF SVM,0.95,0.9523809524,1,0.9090909091
quantile,9,6,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
quantile,9,6,linear,Decision Tree,0.95,0.9523809524,1,0.9090909091
quantile,9,6,linear,Random Forest,0.95,0.9545454545,0.9545454545,0.9545454545
quantile,9,6,linear,Neural Net,0.95,0.9523809524,1,0.9090909091
quantile,9,6,linear,AdaBoost,0.95,0.9523809524,1,0.9090909091
quantile,9,6,linear,QDA,0.95,0.9523809524,1,0.9090909091
quantile,9,7,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,7,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,7,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,7,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,7,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,7,linear,Linear SVM,0.95,0.9545454545,0.9545454545,0.9545454545
quantile,9,7,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
quantile,9,7,linear,Neural Net,0.95,0.9523809524,1,0.9090909091
quantile,9,8,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,8,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,8,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,8,linear,Linear SVM,0.95,0.9545454545,0.9545454545,0.9545454545
quantile,9,8,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
quantile,9,9,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,9,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,9,9,moon,Decision Tree,0.95,0.9545454545,0.9130434783,1
